" "," ","編號","股票","類別","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","收盤價",""
" "," ","115","1525 江申","電機","2.00","1.80","2.40","2.30","2.00","1.40","1.60","1.60","1.70","2.00","1.55","0.80","1.00","1.00","1.50","64.90"," "
" "," ","116","1526 日馳","電機","0.80","1.00","1.00","0.80","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","48.35"," "
" "," ","117","1527 鑽全","電機","1.20","4.00","1.40","4.10","3.30","3.00","4.50","0.50","1.83","0.00","1.33","1.23","2.32","3.00","4.26","45.80"," "
" "," ","118","1528 恩德","電機","0.10","0.20","0.50","0.50","0.10","0.10","0.60","0.55","1.03","0.99","0.43","0.36","1.59","1.70","1.00","10.65"," "
" "," ","119","1529 樂士","電機","0.50","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.70"," "
" "," ","120","1531 高林股","電機","0.20","0.50","0.80","0.60","0.60","0.80","1.00","1.20","2.00","1.80","0.70","0.70","1.50","1.70","2.00","15.10"," "
" "," ","121","1532 勤美","電機","0.92","2.70","1.50","1.70","2.10","1.50","3.20","1.20","0.80","2.00","4.50","0.40","1.39","2.50","1.70","31.15"," "
" "," ","122","1533 車王電","電機","0.50","0.80","0.30","0.20","0.50","0.50","1.50","0.30","0.40","0.00","0.50","0.00","1.00","1.20","0.50","52.00"," "
" "," ","123","1535 中宇","電機","1.20","1.10","1.25","1.80","3.00","4.50","3.50","3.89","3.50","3.20","2.70","2.00","1.80","1.60","1.00","38.35"," "
" "," ","124","1536 和大","電機","2.00","3.50","3.75","3.50","3.20","2.10","1.59","0.74","0.00","0.00","0.00","0.00","2.19","2.50","2.35","93.80"," "
" "," ","125","1537 廣隆","電機","10.00","10.00","9.50","9.00","7.50","6.50","5.50","4.50","2.50","4.14","3.47","0.36","2.23","1.00","0.50","138.00"," "
" "," ","126","1538 正峰新","電機","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.21","0.00","0.00","3.00","10.80"," "
" "," ","127","1539 巨庭","電機","0.80","1.80","1.00","1.20","1.20","0.89","0.00","0.00","0.00","0.00","0.00","0.00","0.30","0.00","0.00","16.95"," "
" "," ","128","1540 喬福","電機","1.00","1.50","0.60","1.00","1.00","1.50","1.30","1.00","1.50","1.30","2.50","3.00","3.00","3.00","1.50","15.20"," "
" "," ","129","1541 錩泰","電機","0.00","1.00","1.50","3.30","3.21","1.71","0.00","0.00","0.00","0.00","1.96","0.00","0.60","0.00","0.00","43.25"," "
" "," ","130","1558 伸興","電機","8.80","11.00","8.50","9.50","9.50","9.00","9.00","8.00","8.00","8.00","7.00","2.20","2.80","4.20","2.20","146.50"," "
" "," ","131","1560 中砂","電機","2.80","3.50","3.50","3.00","3.70","4.10","3.30","2.70","2.70","1.50","0.50","1.20","2.60","4.00","3.00","64.30"," "
" "," ","132","1568 倉佑","電機","0.50","0.65","0.80","1.20","1.00","0.50","0.50","0.50","0.00","0.00","0.00","0.00","1.21","0.00","0.00","22.90"," "
" "," ","133","1569 濱川","櫃電腦","0.29","0.25","0.60","0.40","0.00","0.00","0.00","0.80","1.80","0.85","1.99","0.60","1.24","2.30","2.00","24.95"," "
" "," ","134","1570 力肯","櫃電機","0.80","0.80","0.80","0.50","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.50","3.50","16.40"," "
" "," ","135","1580 新麥","櫃電機","5.00","6.50","8.35","8.50","7.00","8.70","8.10","7.50","7.50","7.50","6.00","3.00","3.50","3.00","3.00","108.00"," "
" "," ","136","1582 信錦","電零","4.50","6.50","5.00","5.64","4.50","4.50","3.50","3.94","3.00","3.48","4.50","3.00","6.42","7.50","3.00","66.40"," "
" "," ","137","1583 程泰","電機","3.00","3.00","2.50","1.00","1.50","3.50","3.00","2.03","2.50","1.50","0.50","1.00","4.64","3.50","-","63.80"," "
" "," ","138","1584 精剛","櫃其他","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.20","0.00","0.00","1.50","1.50","1.00","14.25"," "
" "," ","139","1586 和勤","櫃電機","0.55","1.00","0.30","0.00","0.92","1.06","1.00","1.00","0.50","1.30","1.48","1.50","1.00","-","-","39.40"," "
" "," ","140","1589 永冠-KY","電機","0.50","0.00","1.53","3.25","8.45","6.00","3.50","2.60","1.50","-","-","-","-","-","-","64.60"," "
" "," ","141","1591 F-駿吉","櫃電機","0.50","1.00","0.00","1.00","0.00","1.20","1.50","1.50","1.00","1.00","1.30","-","-","-","-","15.95"," "
" "," ","142","1593 祺驊","櫃生技","3.20","4.00","3.24","3.00","3.00","2.10","2.80","1.60","1.80","2.00","-","-","-","-","-","97.00"," "
" "," ","143","1595 川寶","櫃電零","2.50","2.50","4.00","1.50","3.20","4.50","3.50","3.50","5.00","3.00","2.50","5.00","-","-","-","37.50"," "
" "," ","144","1597 直得","櫃電機","1.00","2.00","3.50","1.00","1.00","0.50","0.70","0.80","2.00","1.30","-","-","-","-","-","99.80"," "
" "," ","145","1598 岱宇","生技","1.10","0.70","0.50","2.10","1.50","2.50","0.00","0.45","0.50","-","-","-","-","-","-","67.00"," "
